pid,displayTitle,hasPart,dmDate,isMemberOfCollection,identifier,dpExtRef,restore_id,restore_md5,restore_filename,restore_filepath,restore_bytes,file_extension
umd:700482,"University of Maryland Woodwind Quintet, faculty recital, April 25, 1981",umd:700483,1981-04-25T05:00:00Z,umd:3392,scpa-031604-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=7f889d94a272414,8873749,5b239b550067f1e0bab8c2ef131942bb,scpa-031604-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12948/Preservation Master/scpa-031604-0001.wav,993767004,wav
umd:700889,"Carolyn Dragun, Doctor of Musical Arts recital, voice, May 23, 1970",umd:700890,1970-05-23T05:00:00Z,umd:3392,scpa-031777-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=2933e949864c457,8876693,ee4bb85b5c2288bcdee28f2d4a2ccff4,scpa-031777-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031777-0001.wav,417270204,wav
umd:700889,"Carolyn Dragun, Doctor of Musical Arts recital, voice, May 23, 1970",umd:700891,1970-05-23T05:00:00Z,umd:3392,scpa-031777-0002,http://streamer.lib.umd.edu/ssdcms/i.do?u=b0863c1cd07b4df,8876716,c1f30ff9bab3f494d763cb7235da6ea3,scpa-031777-0002.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031777-0002.wav,568470204,wav
umd:700859,"University of Maryland Brass Ensemble and Percussion Ensemble, chamber recital, November 13, 1972",umd:700860,1972-11-13T05:00:00Z,umd:3392,scpa-031767-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=b3d886056c1d4ee,8876996,72d93e8f26c16291e1af63421535b8fb,scpa-031767-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031767-0001.wav,602425692,wav
umd:700859,"University of Maryland Brass Ensemble and Percussion Ensemble, chamber recital, November 13, 1972",umd:700861,1972-11-13T05:00:00Z,umd:3392,scpa-031767-0002,http://streamer.lib.umd.edu/ssdcms/i.do?u=8b23221888644f5,8876926,5435edd7e9ba2004527ac39ab3fa954b,scpa-031767-0002.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031767-0002.wav,461017692,wav
umd:700903,"Marjorie Huffman and Charles Timbrell, recital, piano, March 20, 1974",umd:700904,1974-03-20T05:00:00Z,umd:3392,scpa-031783-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=9a6db5d58b8a4a6,8876646,9a8a0aa578153144f1607b6b233ae28e,scpa-031783-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031783-0001.wav,476235612,wav
umd:700903,"Marjorie Huffman and Charles Timbrell, recital, piano, March 20, 1974",umd:700905,1974-03-20T05:00:00Z,umd:3392,scpa-031783-0002,http://streamer.lib.umd.edu/ssdcms/i.do?u=98360c95dfda432,8876773,0f92d5975a4bd0eced969a54902160b0,scpa-031783-0002.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031783-0002.wav,376587612,wav
umd:700901,"Marjorie Huffman and Charles Timbrell, recital, piano, March 20, 1974",umd:700902,1974-03-20T05:00:00Z,umd:3392,scpa-031782-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=b1b5c1d8c6224cd,8876809,a2cf8672b5e1182b725fd4a00cf87793,scpa-031782-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031782-0001.wav,1177336476,wav
umd:700846,"Huan Helen Chang, Master of Music recital, piano, December 7, 1972",umd:700847,1972-12-07T05:00:00Z,umd:3392,scpa-031762-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=b80ebde2e12b4e7,8876624,837ec3b334e4ef5062a15930a81fa012,scpa-031762-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031762-0001.wav,398276892,wav
umd:700846,"Huan Helen Chang, Master of Music recital, piano, December 7, 1972",umd:700848,1972-12-07T05:00:00Z,umd:3392,scpa-031762-0002,http://streamer.lib.umd.edu/ssdcms/i.do?u=9fc7c57e6eff40c,8876628,96fb09ab1bf6719c1c5199d2e133600b,scpa-031762-0002.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031762-0002.wav,562724892,wav
umd:700862,"Thea Cooper, Master of Music recital, cello, November 15, 1972",umd:700863,1972-11-15T05:00:00Z,umd:3392,scpa-031768-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=84f4391ad45c4f5,8876788,49c079388520b4a9c8749233266a2b73,scpa-031768-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031768-0001.wav,548714844,wav
umd:700862,"Thea Cooper, Master of Music recital, cello, November 15, 1972",umd:700864,1972-11-15T05:00:00Z,umd:3392,scpa-031768-0002,http://streamer.lib.umd.edu/ssdcms/i.do?u=da66bd4c185b4fe,8876974,678b68bfff5ae806ee0f3f82f8f746f5,scpa-031768-0002.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031768-0002.wav,605450844,wav
umd:700851,"University of Maryland String Quartet, faculty recital, December 3, 1972",umd:700852,1972-12-03T05:00:00Z,umd:3392,scpa-031764-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=e4032bbf5be843b,8873416,317dd3648c137cb72a92a1048a5eb768,scpa-031764-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12948/Preservation Master/scpa-031764-0001.wav,1358050716,wav
umd:700853,"Ernest Brown, Doctor of Musical Arts lecture recital, piano, October 16, 1972",umd:700854,1972-10-16T05:00:00Z,umd:3392,scpa-031765-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=d78338bb57234ea,8877043,5637001e053789eaad9b49673aed4eb8,scpa-031765-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031765-0001.wav,328249692,wav
umd:700853,"Ernest Brown, Doctor of Musical Arts lecture recital, piano, October 16, 1972",umd:700855,1972-10-16T05:00:00Z,umd:3392,scpa-031765-0002,http://streamer.lib.umd.edu/ssdcms/i.do?u=d8f7f91a61e643d,8876759,632e949117aaf667390d6309232828ea,scpa-031765-0002.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031765-0002.wav,511705692,wav
umd:700849,"Twentieth Century Chamber Ensemble, chamber recital, December 6, 1972",umd:700850,1972-12-06T05:00:00Z,umd:3392,scpa-031763-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=8d0a3eeeddcc404,8877015,d8cec955748839e836bbfab836bca0fa,scpa-031763-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031763-0001.wav,1327609116,wav
umd:701429,"University of Maryland Symphony Orchestra and Student Honors Recital, recital, March 31, 1988",umd:701430,1988-03-31T05:00:00Z,umd:3392,scpa-031988-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=725fcbb3738c491,8874938,73a626737e5ff086ecd05e30817bd4f4,scpa-031988-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/13152/Preservation Master/scpa-031988-0001.wav,1675884636,wav
umd:701429,"University of Maryland Symphony Orchestra and Student Honors Recital, recital, March 31, 1988",umd:701431,1988-03-31T05:00:00Z,umd:3392,scpa-031988-0002,http://streamer.lib.umd.edu/ssdcms/i.do?u=5e2ac998d4764fc,8874583,6ddd6d747c879c1ca9098d990d9cba4f,scpa-031988-0002.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/13152/Preservation Master/scpa-031988-0002.wav,1564140636,wav
umd:701438,"Alfred E. McEwen, visiting artist, voice, February 16, 1986",umd:701439,1986-02-16T05:00:00Z,umd:3392,scpa-031991-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=1ba9b1da3fda4e2,8874662,b83fdab5066f1e6ca2b40c8644d7f0fa,scpa-031991-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/13152/Preservation Master/scpa-031991-0001.wav,883342620,wav
umd:701438,"Alfred E. McEwen, visiting artist, voice, February 16, 1986",umd:701440,1986-02-16T05:00:00Z,umd:3392,scpa-031991-0002,http://streamer.lib.umd.edu/ssdcms/i.do?u=ca985ebd6c0e45b,8874456,09d7cc3d2366f60b1331444955035d29,scpa-031991-0002.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/13152/Preservation Master/scpa-031991-0002.wav,1147181148,wav
umd:701423,"Tricia Darden, recital, voice, April 27, 1987",umd:701424,1987-04-27T05:00:00Z,umd:3392,scpa-031986-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=7801d6b32f90438,8876825,e556254b2bcb3c87eaeee0df031ddef4,scpa-031986-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031986-0001.wav,1072006236,wav
umd:701423,"Tricia Darden, recital, voice, April 27, 1987",umd:701425,1987-04-27T05:00:00Z,umd:3392,scpa-031986-0002,http://streamer.lib.umd.edu/ssdcms/i.do?u=944c92f90e134d4,8876882,23e950ef4fc60eee29595460270567a3,scpa-031986-0002.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031986-0002.wav,1180870236,wav
umd:701432,"Homer Ulrich Graduate Finals, recital, March 29, 1987",umd:701433,1987-03-29T05:00:00Z,umd:3392,scpa-031989-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=21610d085df4406,8874897,5e55e8655888d09570641d2e0b9ccb4c,scpa-031989-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/13152/Preservation Master/scpa-031989-0001.wav,1682348316,wav
umd:701432,"Homer Ulrich Graduate Finals, recital, March 29, 1987",umd:701434,1987-03-29T05:00:00Z,umd:3392,scpa-031989-0002,http://streamer.lib.umd.edu/ssdcms/i.do?u=35f115ef12b9410,8874495,12a6333fb1a4214926a58bcac885a711,scpa-031989-0002.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/13152/Preservation Master/scpa-031989-0002.wav,7916508,wav
umd:701426,"Mary Henneke, Master of Music recital, piano, May 8, 1988",umd:701427,1988-05-08T05:00:00Z,umd:3392,scpa-031987-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=8a285da94abb4c5,8874675,89b7160c131c6e87bf0153162f8dd955,scpa-031987-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/13152/Preservation Master/scpa-031987-0001.wav,959686236,wav
umd:701426,"Mary Henneke, Master of Music recital, piano, May 8, 1988",umd:701428,1988-05-08T05:00:00Z,umd:3392,scpa-031987-0002,http://streamer.lib.umd.edu/ssdcms/i.do?u=dca576736f274d9,8874635,aab523cae8df95a55b621a22d0fbc0e3,scpa-031987-0002.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/13152/Preservation Master/scpa-031987-0002.wav,1148038236,wav
umd:701365,"Kwang-I Ying, Master of Music recital, piano, December 12, 1987",umd:701366,1987-12-12T05:00:00Z,umd:3392,scpa-031966-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=51e4e24655d740d,8874851,691768f26651e08de12607c0fe31d1bf,scpa-031966-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/13152/Preservation Master/scpa-031966-0001.wav,1347294492,wav
umd:701365,"Kwang-I Ying, Master of Music recital, piano, December 12, 1987",umd:701367,1987-12-12T05:00:00Z,umd:3392,scpa-031966-0002,http://streamer.lib.umd.edu/ssdcms/i.do?u=a0c02fad49d1434,8874445,a56bd624c9d919ec8c9008ef27cfa6df,scpa-031966-0002.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/13152/Preservation Master/scpa-031966-0002.wav,964254492,wav
umd:701356,"University of Maryland Symphony Orchestra, recital, April 21, 1988",umd:701357,1988-04-21T05:00:00Z,umd:3392,scpa-031963-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=a068164646fd4fa,8874493,12c4d7f2197e03c40a0ff7d68a34c2bb,scpa-031963-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/13152/Preservation Master/scpa-031963-0001.wav,1185149916,wav
umd:701356,"University of Maryland Symphony Orchestra, recital, April 21, 1988",umd:701358,1988-04-21T05:00:00Z,umd:3392,scpa-031963-0002,http://streamer.lib.umd.edu/ssdcms/i.do?u=5ff114f42e1b40d,8874569,cdddeac1bb5e82a58d2533768f7a3c98,scpa-031963-0002.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/13152/Preservation Master/scpa-031963-0002.wav,924797916,wav
umd:701374,"Dieter Wolfhurst, recital, cello, May 7, 1986",umd:701375,1986-05-07T05:00:00Z,umd:3392,scpa-031969-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=9f0fa4a7e15f43a,8874766,15fc3338a83b5fe9bf04fc7649bd2711,scpa-031969-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/13152/Preservation Master/scpa-031969-0001.wav,1681122780,wav
umd:701374,"Dieter Wolfhurst, recital, cello, May 7, 1986",umd:701376,1986-05-07T05:00:00Z,umd:3392,scpa-031969-0002,http://streamer.lib.umd.edu/ssdcms/i.do?u=b2e7457d8e654d6,8874501,c6afb86102786e0e464e25c0bf8c761d,scpa-031969-0002.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/13152/Preservation Master/scpa-031969-0002.wav,1159842780,wav
