umdm,umam,type,base,ext,status,source
umd_321147,umd_321151,audio,scpa-019352-0004,.mp3,todo,DCR_Projects_Archive026 Date 09242013/DCR Projects/Archive/scpa/scpa-019352-0004.wav
umd_321152,umd_321154,audio,scpa-022141-0002,.mp3,todo,DCR_Projects_Archive027 - Archive Date 01102014/DCR Projects/Archive/JULY/scpa/scpa-022141-0002.wav
umd_321152,umd_321156,audio,scpa-022141-0004,.mp3,todo,DCR_Projects_Archive027 - Archive Date 01102014/DCR Projects/Archive/JULY/scpa/scpa-022141-0004.wav
umd_321152,umd_321153,audio,scpa-022141-0001,.mp3,todo,DCR_Projects_Archive027 - Archive Date 01102014/DCR Projects/Archive/JULY/scpa/scpa-022141-0001.wav
umd_321152,umd_321155,audio,scpa-022141-0003,.mp3,todo,DCR_Projects_Archive027 - Archive Date 01102014/DCR Projects/Archive/JULY/scpa/scpa-022141-0003.wav
umd_321157,umd_321161,audio,scpa-022241-0004,.mp3,todo,DCR_Projects_Archive027 - Archive Date 01102014/DCR Projects/Archive/JULY/scpa/scpa-022241-0004.wav
umd_321157,umd_321158,audio,scpa-022241-0001,.mp3,todo,DCR_Projects_Archive027 - Archive Date 01102014/DCR Projects/Archive/JULY/scpa/scpa-022241-0001.wav
umd_321157,umd_321159,audio,scpa-022241-0002,.mp3,todo,DCR_Projects_Archive027 - Archive Date 01102014/DCR Projects/Archive/JULY/scpa/scpa-022241-0002.wav
umd_321157,umd_321160,audio,scpa-022241-0003,.mp3,todo,DCR_Projects_Archive027 - Archive Date 01102014/DCR Projects/Archive/JULY/scpa/scpa-022241-0003.wav
umd_321162,umd_321163,audio,scpa-022348-0001,.mp3,todo,DCR_Projects_Archive027 - Archive Date 01102014/DCR Projects/Archive/JULY/scpa/scpa-022348-0001.wav
umd_321162,umd_321164,audio,scpa-022348-0002,.mp3,todo,DCR_Projects_Archive027 - Archive Date 01102014/DCR Projects/Archive/JULY/scpa/scpa-022348-0002.wav
umd_321162,umd_321165,audio,scpa-022348-0003,.mp3,todo,DCR_Projects_Archive027 - Archive Date 01102014/DCR Projects/Archive/JULY/scpa/scpa-022348-0003.wav
umd_321166,umd_321168,audio,scpa-022111-0002,.mp3,todo,DCR_Projects_Archive027 - Archive Date 01102014/DCR Projects/Archive/JULY/scpa/scpa-022111-0002.wav
umd_321166,umd_321167,audio,scpa-022111-0001,.mp3,todo,DCR_Projects_Archive027 - Archive Date 01102014/DCR Projects/Archive/JULY/scpa/scpa-022111-0001.wav
umd_321169,umd_321170,audio,scpa-022207-0001,.mp3,todo,DCR_Projects_Archive027 - Archive Date 01102014/DCR Projects/Archive/JULY/scpa/scpa-022207-0001.wav
umd_321169,umd_321171,audio,scpa-022207-0002,.mp3,todo,DCR_Projects_Archive027 - Archive Date 01102014/DCR Projects/Archive/JULY/scpa/scpa-022207-0002.wav
umd_321172,umd_321174,audio,scpa-023264-0002,.mp3,todo,DCR_Projects_Archive028 Date 01172014/DCR Projects/Archive/AUGUSTandSEPTEMBER/scpa/scpa-023264-0002.wav
umd_321172,umd_321173,audio,scpa-023264-0001,.mp3,todo,DCR_Projects_Archive028 Date 01172014/DCR Projects/Archive/AUGUSTandSEPTEMBER/scpa/scpa-023264-0001.wav
umd_327484,umd_327485,audio,bcast-020335-0001,.mp3,todo,DCR_Projects_Archive031 Date 03202014/DCR Projects/Archive/NOVEMBER/bcast/bcast-020335-0001.wav
umd_327486,umd_327487,audio,bcast-020341-0001,.mp3,todo,DCR_Projects_Archive031 Date 03202014/DCR Projects/Archive/NOVEMBER/bcast/bcast-020341-0001.wav
umd_327488,umd_327489,audio,bcast-020347-0001,.mp3,todo,DCR_Projects_Archive031 Date 03202014/DCR Projects/Archive/NOVEMBER/bcast/bcast-020347-0001.wav
umd_327490,umd_327491,audio,bcast-020348-0001,.mp3,todo,DCR_Projects_Archive031 Date 03202014/DCR Projects/Archive/NOVEMBER/bcast/bcast-020348-0001.wav
umd_327492,umd_327493,audio,bcast-020355-0001,.mp3,todo,DCR_Projects_Archive031 Date 03202014/DCR Projects/Archive/NOVEMBER/bcast/bcast-020355-0001.wav
umd_327494,umd_327495,audio,bcast-020357-0001,.mp3,todo,DCR_Projects_Archive031 Date 03202014/DCR Projects/Archive/NOVEMBER/bcast/bcast-020357-0001.wav
umd_327496,umd_327497,audio,bcast-020359-0001,.mp3,todo,DCR_Projects_Archive031 Date 03202014/DCR Projects/Archive/NOVEMBER/bcast/bcast-020359-0001.wav
umd_327498,umd_327499,audio,bcast-020405-0001,.mp3,todo,DCR_Projects_Archive031 Date 03202014/DCR Projects/Archive/NOVEMBER/bcast/bcast-020405-0001.wav
umd_450140,umd_450141,audio,bcast-023636-0001,.mp3,todo,DCR_Projects_Archive034 Date 05092014/DCR Projects/Archive/JANUARY/bcast/bcast-023636-0001.wav
umd_675053,umd_675054,audio,scpa-024122-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024122-0001.wav
umd_675055,umd_675056,audio,scpa-024123-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024123-0001.wav
umd_675057,umd_675059,audio,scpa-024139-0002,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024139-0002.wav
umd_675057,umd_675060,audio,scpa-024139-0003,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024139-0003.wav
umd_675057,umd_675058,audio,scpa-024139-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024139-0001.wav
umd_675061,umd_675062,audio,scpa-024141-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024141-0001.wav
umd_675063,umd_675064,audio,scpa-024142-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024142-0001.wav
umd_675065,umd_675066,audio,scpa-024143-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024143-0001.wav
umd_675067,umd_675068,audio,scpa-024144-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024144-0001.wav
umd_675069,umd_675070,audio,scpa-024145-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024145-0001.wav
umd_675071,umd_675072,audio,scpa-024147-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024147-0001.wav
umd_675073,umd_675074,audio,scpa-024148-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024148-0001.wav
